,z,om,o2,so4,h2s,fes2,dso4,dh2s,dfes2,f_o2,f_so4,f_h2s,f_fes2,fe,DB,DSO4,DH2S,DO2,phi,omega
49,24.540901502504173,695.3808887635313,-0.0,18.96007763713309,36.34564027445064,3.248833184592616,98.13884036824851,-13.227605445470317,-10.527542132046676,1.058285148251488e-17,1.3345241879630547e-11,1.0989449588339498e-11,2.3557922912910492e-12,6.4817360831628115,0.0,2.725436051378814e-10,5.709058720352894e-10,1.076385612084989e-09,0.65,1.5e-11
50,25.041736227045075,697.918680912305,-0.0,19.067516485310406,36.4260502268383,3.3294969178799203,97.78290174290764,-13.329447526784017,-10.606123562133412,1.0595699719421837e-17,1.3415154221833169e-11,1.108228264507528e-11,2.3328715767578885e-12,6.404494958474141,0.0,2.7275582348863086e-10,5.711555944911284e-10,1.0764438166266192e-09,0.65,1.5e-11
51,25.542570951585976,693.5930881034005,-0.0,19.175544467831852,36.49765069419878,3.404602341368828,97.42385339438307,-13.43199695915115,-10.655768680444577,1.0462213004030236e-17,1.3298161778870266e-11,1.0989362615478765e-11,2.3087991633915003e-12,6.325966926386603,0.0,2.729680418393804e-10,5.714053169469672e-10,1.0765020211682494e-09,0.65,1.5e-11
52,26.043405676126877,696.1387180490335,-0.0,19.284029821946422,36.56091604714877,3.4836751666780916,97.0625668495798,-13.535175489030808,-10.731219314313128,1.047716457184166e-17,1.336823913389854e-11,1.1083093403345704e-11,2.2851457305528345e-12,6.250316709675973,0.0,2.7318026019012984e-10,5.716550394028059e-10,1.0765602257098795e-09,0.65,1.5e-11
53,26.54424040066778,691.811556551283,-0.0,19.39295480478494,36.61624705955843,3.5571859379927138,96.69943779173381,-13.638962116134072,-10.779308020306484,1.0346721724352299e-17,1.325125115543002e-11,1.0990814712874135e-11,2.2604364425558854e-12,6.1733833297627205,0.0,2.7339247854087936e-10,5.719047618586447e-10,1.0766184302515096e-09,0.65,1.5e-11
54,27.04507512520868,694.3650170599149,-0.0,19.50220337805117,36.664072752292725,3.6346254199384207,96.33517956550153,-13.743283504456514,-10.852008132653461,1.0363660003091608e-17,1.3321491147160577e-11,1.108523734366046e-11,2.2362538035001175e-12,6.0993664564156465,0.0,2.736046968916288e-10,5.721544843144835e-10,1.0766766347931396e-09,0.65,1.5e-11
55,27.54590984974958,690.0362717714961,-0.0,19.611771799273562,36.70475094765075,3.7065059044031106,95.97005281052346,-13.848122525544666,-10.898740248630688,1.0236090129359503e-17,1.3204506071355618e-11,1.0993408820875527e-11,2.2110972504800913e-12,6.024063363352328,0.0,2.7381691524237824e-10,5.724042067703224e-10,1.0767348393347699e-09,0.65,1.5e-11
56,28.046744574290486,692.597555840239,-0.0,19.721556629780316,36.73866997778379,3.782282271005835,95.60464712743693,-13.953410331042107,-10.96899791924768,1.0254905305141202e-17,1.327490688484826e-11,1.1088345937176368e-11,2.1865609476718926e-12,5.951709605348235,0.0,2.7402913359312776e-10,5.726539292261612e-10,1.0767930438764e-09,0.65,1.5e-11
57,28.547579298831387,688.26721188025,-0.0,19.831565333228596,36.76614912494702,3.852508578433275,95.23911852055447,-14.059133299750249,-11.014529741070854,1.0130047183773686e-17,1.3157923680361658e-11,1.0996803255942955e-11,2.1611204244187023e-12,5.878060689322165,0.0,2.742413519438773e-10,5.729036516820001e-10,1.07685124841803e-09,0.65,1.5e-11
58,29.04841402337229,690.8363126677649,-0.0,19.94170457180217,36.787540208093944,3.926602963469298,94.87395982246824,-14.165226680838904,-11.082596640002546,1.0150635849275572e-17,1.3228483930621762e-11,1.1092102592684629e-11,2.1363813379371336e-12,5.8073889128847735,0.0,2.7445357029462674e-10,5.731533741378388e-10,1.0769094529596603e-09,0.65,1.5e-11
59,29.54924874791319,686.5043553172554,-0.0,20.051990780423775,36.80312792174112,3.995161299138866,94.50924616951978,-14.271680031726904,-11.127051096222088,1.0028337381203336e-17,1.3111501968773284e-11,1.1000705008755499e-11,2.1107969600177854e-12,5.7354079686165775,0.0,2.746657886453762e-10,5.734030965936776e-10,1.0769676575012904e-09,0.65,1.5e-11
60,30.05008347245409,689.0812660909406,-0.0,20.162338723287142,36.8132313127648,4.067564193897145,94.14539471220152,-14.378432346126559,-11.193134457251238,1.0050602159856629e-17,1.3182220598593724e-11,1.109623632897531e-11,2.0859842696184126e-12,5.666427682456931,0.0,2.7487800699612567e-10,5.736528190495166e-10,1.0770258620429203e-09,0.65,1.5e-11
61,30.550918196994992,684.7476807480676,-0.0,20.27277201849615,36.818104029358906,4.134449407526141,93.78241825809891,-14.485476064166335,-11.236608747966693,9.930719849531663e-18,1.3065239554107368e-11,1.1004863777254754e-11,2.060375776852615e-12,5.5961198602293045,0.0,2.750902253468752e-10,5.739025415053554e-10,1.0770840665845507e-09,0.65,1.5e-11
62,31.051752921535893,687.332394844155,-0.0,20.38321193274945,36.81803569874552,4.205159299802066,93.42067473320051,-14.592753605187832,-11.300880538901456,9.954569041959095e-18,1.3136115754762508e-11,1.1100516148762778e-11,2.0355996059997297e-12,5.528832576552013,0.0,2.753024436976246e-10,5.741522639611941e-10,1.0771422711261808e-09,0.65,1.5e-11
63,31.552587646076795,682.9971669902951,-0.0,20.49368783620138,36.81325209652419,4.270373611260897,93.0601290552329,-14.700260025866376,-11.343451927476943,9.836967508305233e-18,1.3019135528893838e-11,1.1009066667710595e-11,2.0100688611832443e-12,5.460195656494551,0.0,2.755146620483741e-10,5.74401986417033e-10,1.0772004756678107e-09,0.65,1.5e-11
64,32.053422370617696,685.589677783945,-0.0,20.604126217657683,36.80401643483723,4.339395791240412,92.70109275801781,-14.807940883034897,-11.406055935517404,9.862314759643347e-18,1.3090168678721277e-11,1.1104746048406969e-11,1.9854226303143084e-12,5.394596085113671,0.0,2.7572688039912364e-10,5.746517088728719e-10,1.0772586802094409e-09,0.65,1.5e-11
65,32.5542570951586,681.2527929582935,-0.0,20.714561053481127,36.790529461348434,4.402947673582425,92.3434941015423,-14.915793610576111,-11.447786172402624,9.746866275008827e-18,1.29731893398768e-11,1.1013133499625276e-11,1.9600558402515243e-12,5.327621594173029,0.0,2.759390987498731e-10,5.749014313287107e-10,1.0773168847510712e-09,0.65,1.5e-11
66,33.0550918196995,683.8530938414181,-0.0,20.824923029270362,36.773030666361116,4.4702931880747725,91.98760822694942,-15.023766642541505,-11.508843522805575,9.773630261845238e-18,1.3044378956819289e-11,1.1108760600926973e-11,1.935618355892315e-12,5.263698688279312,0.0,2.761513171006225e-10,5.751511537845495e-10,1.0773750892927011e-09,0.65,1.5e-11
67,33.5559265442404,679.5145376221412,-0.0,20.935249809846702,36.751698319715814,4.53219639022856,91.63333546578288,-15.131859574379103,-11.549782246821795,9.660214317319066e-18,1.2927400694807527e-11,1.1016912653939649e-11,1.910488040867878e-12,5.198372877526898,0.0,2.7636353545137203e-10,5.754008762403883e-10,1.0774332938343313e-09,0.65,1.5e-11
68,34.0567612687813,682.1226219871847,-0.0,21.04547545626454,36.72675060442873,4.597881128449114,91.28092235600205,-15.240023482116106,-11.609395732976274,9.688318453061016e-18,1.299874639982448e-11,1.1112421053763007e-11,1.886325346061472e-12,5.136110747904974,0.0,2.7657575380212155e-10,5.756505986962271e-10,1.0774914983759614e-09,0.65,1.5e-11
69,34.5575959933222,677.7823799776208,-0.0,21.15564058648091,36.69834559894879,4.658153821621613,90.93024807963555,-15.348259928355128,-11.649583101806462,9.576821348618612e-18,1.2881769490708886e-11,1.1020277408170534e-11,1.8614920825383526e-12,5.072415446133847,0.0,2.76787972152871e-10,5.75900321152066e-10,1.0775497029175915e-09,0.65,1.5e-11
70,35.058430717863104,680.3982412059196,-0.0,21.265681978835495,36.66668234405512,4.722197717380301,90.58153663902945,-15.456522418140963,-11.707840606001236,9.606193506186654e-18,1.2953270979635845e-11,1.1115611887064966e-11,1.8376590925708796e-12,5.011794158973789,0.0,2.770001905036205e-10,5.761500436079048e-10,1.0776079074592216e-09,0.65,1.5e-11
71,35.559265442404005,676.0562990246588,-0.0,21.37564261505358,36.631900777153554,4.780861750820857,90.23465132715387,-15.564814305682367,-11.74730934095954,9.496507964225042e-18,1.2836295758819374e-11,1.1023122706508894e-11,1.8131730523104798e-12,4.949707516934606,0.0,2.7721240885436995e-10,5.763997660637437e-10,1.0776661120008516e-09,0.65,1.5e-11
72,36.060100166944906,678.6799304783133,-0.0,21.48546146315677,36.59418273843257,4.843288087519948,89.88979833756589,-15.673091331954751,-11.804286553455848,9.527080215037264e-18,1.2907952780783542e-11,1.1118237782732868e-11,1.7897149980506747e-12,4.890703788834145,0.0,2.774246272051194e-10,5.766494885195824e-10,1.077724316542482e-09,0.65,1.5e-11
73,36.56093489148581,674.3362737522522,-0.0,21.59518339608756,36.553651863198986,4.90036834078636,89.54682915342654,-15.781358483966345,-11.843063536152423,9.419105015948185e-18,1.2790979622475824e-11,1.1025362317347384e-11,1.7656173051284404e-12,4.830200926969105,0.0,2.776368455558689e-10,5.768992109754213e-10,1.077782521084112e-09,0.65,1.5e-11
